,icd10_category,description
425,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
426,D61,Other aplastic anaemias
427,T84,"Complications of internal orthopaedic prosthetic devices, implants and grafts"
428,R53,Malaise and fatigue
429,G44,Other headache syndromes
430,F01,Vascular dementia
431,H26,Other cataract
432,J34,Other disorders of nose and nasal sinuses
433,H66,Suppurative and unspecified otitis media
434,H70,Mastoiditis and related conditions
435,A69,Other spirochaetal infections
436,Z11,Special screening examination for infectious and parasitic diseases
437,M10,Gout
438,Z45,Adjustment and management of implanted device
439,K61,Abscess of anal and rectal regions
440,Z03,"Medical observation and evaluation for suspected diseases and conditions, ruled out"
441,Z09,Follow-up examination after treatment for conditions other than malignant neoplasms
442,U07,Emergency use of U07
443,J12,"Viral pneumonia, not elsewhere classified"
444,K60,Fissure and fistula of anal and rectal regions
445,Z76,Persons encountering health services in other circumstances
446,S70,Superficial injury of hip and thigh
447,S06,Intracranial injury
448,W05,Fall involving wheelchair
449,D46,Myelodysplastic syndromes
450,J84,Other interstitial pulmonary diseases
451,M84,Disorders of continuity of bone
452,Y79,Orthopaedic devices associated with adverse incidents
453,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
454,D18,"Haemangioma and lymphangioma, any site"
455,I61,Intracerebral haemorrhage
456,F84,Pervasive developmental disorders
457,Q44,"Congenital malformations of gallbladder, bile ducts and liver"
458,N05,Unspecified nephritic syndrome
459,C23,Malignant neoplasm of gallbladder
460,K81,Cholecystitis
461,O13,Gestational [pregnancy-induced] hypertension
462,O72,Postpartum haemorrhage
463,O86,Other puerperal infections
464,L02,"Cutaneous abscess, furuncle and carbuncle"
465,F88,Other disorders of psychological development
466,R30,Pain associated with micturition
467,K03,Other diseases of hard tissues of teeth
468,O00,Ectopic pregnancy
469,D13,Benign neoplasm of other and ill-defined parts of digestive system
470,L89,Decubitus ulcer and pressure area
472,R71,Abnormality of red blood cells
473,D75,Other diseases of blood and blood-forming organs
474,R17,"Hyperbilirubinaemia, with or without jaundice, not elsewhere classified"
475,D59,Acquired haemolytic anaemia
476,S27,Injury of other and unspecified intrathoracic organs
477,S22,"Fracture of rib(s), sternum and thoracic spine"
478,W10,Fall on and from stairs and steps
479,I97,"Postprocedural disorders of circulatory system, not elsewhere classified"
480,I08,Multiple valve diseases
481,Z72,Problems related to lifestyle
482,G62,Other polyneuropathies
483,Q27,Other congenital malformations of peripheral vascular system
484,E44,Protein-energy malnutrition of moderate and mild degree
485,R56,"Convulsions, not elsewhere classified"
486,I15,Secondary hypertension
487,T44,Poisoning by drugs primarily affecting the autonomic nervous system
489,R35,Polyuria
490,S50,Superficial injury of forearm
491,O03,Spontaneous abortion
492,J95,"Postprocedural respiratory disorders, not elsewhere classified"
493,L40,Psoriasis
494,L57,Skin changes due to chronic exposure to nonionizing radiation
495,M72,Fibroblastic disorders
496,H61,Other disorders of external ear
497,N03,Chronic nephritic syndrome
498,F91,Conduct disorders
499,R49,Voice disturbances
500,J04,Acute laryngitis and tracheitis
501,R23,Other skin changes
502,C91,Lymphoid leukaemia
503,B25,Cytomegaloviral disease
504,B34,Viral infection of unspecified site
506,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
507,T36,Poisoning by systemic antibiotics
508,T37,Poisoning by other systemic anti-infectives and antiparasitics
509,N80,Endometriosis
510,C56,Malignant neoplasm of ovary
511,N32,Other disorders of bladder
512,N73,Other female pelvic inflammatory diseases
513,Z97,Presence of other devices
514,G99,Other disorders of nervous system in diseases classified elsewhere
515,C19,Malignant neoplasm of rectosigmoid junction
516,I81,Portal vein thrombosis
517,I85,Oesophageal varices
518,I86,Varicose veins of other sites
519,J36,Peritonsillar abscess
520,M18,Arthrosis of first carpometacarpal joint
521,G60,Hereditary and idiopathic neuropathy
522,J93,Pneumothorax
523,S14,Injury of nerves and spinal cord at neck level
524,G96,Other disorders of central nervous system
525,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level"
526,F12,Mental and behavioural disorders due to use of cannabinoids
527,M53,"Other dorsopathies, not elsewhere classified"
528,Z94,Transplanted organ and tissue status
529,Q61,Cystic kidney disease
530,G61,Inflammatory polyneuropathy
531,O02,Other abnormal products of conception
532,O24,Diabetes mellitus in pregnancy
535,M43,Other deforming dorsopathies
536,N62,Hypertrophy of breast
537,N60,Benign mammary dysplasia
538,Z83,Family history of other specific disorders
539,S80,Superficial injury of lower leg
540,Z75,Problems related to medical facilities and other health care
541,K42,Umbilical hernia
542,M96,"Postprocedural musculoskeletal disorders, not elsewhere classified"
543,T17,Foreign body in respiratory tract
544,D12,"Benign neoplasm of colon, rectum, anus and anal canal"
545,C22,Malignant neoplasm of liver and intrahepatic bile ducts
546,C25,Malignant neoplasm of pancreas
547,K86,Other diseases of pancreas
548,K11,Diseases of salivary glands
549,B00,Herpesviral [herpes simplex] infections
550,A40,Streptococcal sepsis
551,C24,Malignant neoplasm of other and unspecified parts of biliary tract
552,I99,Other and unspecified disorders of circulatory system
553,T39,"Poisoning by nonopioid analgesics, antipyretics and antirheumatics"
554,W17,Other fall from one level to another
555,S60,Superficial injury of wrist and hand
556,O44,Placenta praevia
557,O46,"Antepartum haemorrhage, not elsewhere classified"
558,O71,Other obstetric trauma
559,H90,Conductive and sensorineural hearing loss
560,K82,Other diseases of gallbladder
561,Z88,"Personal history of allergy to drugs, medicaments and biological substances"
562,R80,Isolated proteinuria
563,M32,Systemic lupus erythematosus
564,H05,Disorders of orbit
565,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
566,C61,Malignant neoplasm of prostate
567,K51,Ulcerative colitis
568,F25,Schizoaffective disorders
569,F22,Persistent delusional disorders
570,T14,Injury of unspecified body region
571,I77,Other disorders of arteries and arterioles
572,I71,Aortic aneurysm and dissection
573,K35,Acute appendicitis
574,Y33,"Other specified events, undetermined intent"
575,K46,Unspecified abdominal hernia
576,Z81,Family history of mental and behavioural disorders
577,E74,Other disorders of carbohydrate metabolism
578,M90,Osteopathies in diseases classified elsewhere
579,B48,"Other mycoses, not elsewhere classified"
580,R52,"Pain, not elsewhere classified"
581,N48,Other disorders of penis
582,K75,Other inflammatory liver diseases
583,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
584,T51,Toxic effect of alcohol
585,B16,Acute hepatitis B
586,R27,Other lack of coordination
587,Y65,Other misadventures during surgical and medical care
588,Y71,Cardiovascular devices associated with adverse incidents
589,C73,Malignant neoplasm of thyroid gland
590,G24,Dystonia
591,T43,"Poisoning by psychotropic drugs, not elsewhere classified"
592,F72,Severe mental retardation
593,O90,"Complications of the puerperium, not elsewhere classified"
594,F79,Unspecified mental retardation
595,S25,Injury of blood vessels of thorax
596,V49,Car occupant injured in other and unspecified transport accidents
597,N95,Menopausal and other perimenopausal disorders
598,T47,Poisoning by agents primarily affecting the gastrointestinal system
599,D73,Diseases of spleen
600,C83,Non-follicular lymphoma
601,E79,Disorders of purine and pyrimidine metabolism
602,D89,"Other disorders involving the immune mechanism, not elsewhere classified"
603,F13,Mental and behavioural disorders due to use of sedatives or hypnotics
604,T52,Toxic effect of organic solvents
606,R01,Cardiac murmurs and other cardiac sounds
607,F63,Habit and impulse disorders
608,T42,"Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs"
609,R25,Abnormal involuntary movements
610,T50,"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"
611,T62,Toxic effect of other noxious substances eaten as food
612,S36,Injury of intra-abdominal organs
613,J06,Acute upper respiratory infections of multiple and unspecified sites
614,T18,Foreign body in alimentary tract
615,M16,Coxarthrosis [arthrosis of hip]
616,R14,Flatulence and related conditions
617,J86,Pyothorax
618,S44,Injury of nerves at shoulder and upper arm level
619,V03,"Pedestrian injured in collision with car, pick-up truck or van"
620,S68,Traumatic amputation of wrist and hand
621,W31,Contact with other and unspecified machinery
622,I62,Other nontraumatic intracranial haemorrhage
623,R12,Heartburn
624,T68,Hypothermia
625,W51,Striking against or bumped into by another person
626,W08,Fall involving other furniture
627,O14,Pre-eclampsia
628,O36,Maternal care for other known or suspected fetal problems
629,G45,Transient cerebral ischaemic attacks and related syndromes
630,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
631,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
632,O66,Other obstructed labour
633,O60,Preterm labour and delivery
634,E28,Ovarian dysfunction
635,S92,"Fracture of foot, except ankle"
636,W14,Fall from tree
637,C92,Myeloid leukaemia
638,E85,Amyloidosis
639,L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
640,L72,Follicular cysts of skin and subcutaneous tissue
641,I33,Acute and subacute endocarditis
642,G83,Other paralytic syndromes
643,M24,Other specific joint derangements
645,O33,Maternal care for known or suspected disproportion
646,F45,Somatoform disorders
647,N61,Inflammatory disorders of breast
648,G14,Postpolio syndrome
649,L94,Other localized connective tissue disorders
650,B91,Sequelae of poliomyelitis
651,J11,"Influenza, virus not identified"
652,F60,Specific personality disorders
653,L30,Other dermatitis
654,X78,Intentional self-harm by sharp object
655,Z62,Other problems related to upbringing
656,S61,Open wound of wrist and hand
657,A81,Atypical virus infections of central nervous system
658,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
659,S24,Injury of nerves and spinal cord at thorax level
660,V27,Motorcycle rider injured in collision with fixed or stationary object
661,M40,Kyphosis and lordosis
662,J80,Adult respiratory distress syndrome
663,M62,Other disorders of muscle
664,A53,Other and unspecified syphilis
665,Y09,Assault by unspecified means
666,L08,Other local infections of skin and subcutaneous tissue
667,L82,Seborrhoeic keratosis
668,K37,Unspecified appendicitis
669,H93,"Other disorders of ear, not elsewhere classified"
670,I72,Other aneurysm and dissection
671,M87,Osteonecrosis
672,F42,Obsessive-compulsive disorder
673,L25,Unspecified contact dermatitis
674,K04,Diseases of pulp and periapical tissues
676,S13,"Dislocation, sprain and strain of joints and ligaments at neck level"
677,S04,Injury of cranial nerves
678,T79,"Certain early complications of trauma, not elsewhere classified"
679,S05,Injury of eye and orbit
680,B97,Viral agents as the cause of diseases classified to other chapters
681,K27,"Peptic ulcer, site unspecified"
682,K08,Other disorders of teeth and supporting structures
683,K05,Gingivitis and periodontal diseases
684,Z12,Special screening examination for neoplasms
685,N91,"Absent, scanty and rare menstruation"
686,E80,Disorders of porphyrin and bilirubin metabolism
687,I09,Other rheumatic heart diseases
688,K30,Functional dyspepsia
689,S31,"Open wound of abdomen, lower back and pelvis"
690,W03,"Other fall on same level due to collision with, or pushing by, another person"
691,L53,Other erythematous conditions
692,M94,Other disorders of cartilage
693,Q28,Other congenital malformations of circulatory system
694,L59,Other disorders of skin and subcutaneous tissue related to radiation
695,R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
696,H81,Disorders of vestibular function
697,D80,Immunodeficiency with predominantly antibody defects
699,G90,Disorders of autonomic nervous system
700,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
701,E05,Thyrotoxicosis [hyperthyroidism]
702,J39,Other diseases of upper respiratory tract
703,Y04,Assault by bodily force
705,D15,Benign neoplasm of other and unspecified intrathoracic organs
706,O23,Infections of genitourinary tract in pregnancy
707,I22,Subsequent myocardial infarction
708,J70,Respiratory conditions due to other external agents
709,S41,Open wound of shoulder and upper arm
710,B89,Unspecified parasitic disease
711,S39,"Other and unspecified injuries of abdomen, lower back and pelvis"
712,N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
713,V10,Pedal cyclist injured in collision with pedestrian or animal
714,H54,Visual impairment including blindness (binocular or monocular)
715,I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
716,F48,Other neurotic disorders
717,C62,Malignant neoplasm of testis
718,F09,Unspecified organic or symptomatic mental disorder
719,K28,Gastrojejunal ulcer
720,R61,Hyperhidrosis
721,D84,Other immunodeficiencies
722,N50,Other disorders of male genital organs
