	response
Z21	"{
  ""comment"": ""Patients with asymptomatic HIV infection are more likely to have other HIV‐related diagnoses (e.g., B20 – HIV disease) and infections that share risk factors such as hepatitis B/C (B15–B19) and tuberculosis (A15–A19). They are less likely to have conditions that are protective or unrelated, such as certain benign neoplasms (D00–D09) or isolated dermatologic conditions without infectious etiology."",
  ""answer"": {
    ""B"": [""B20"", ""B15"", ""B16"", ""B17"", ""B18"", ""B19"", ""A15"", ""A16"", ""A17"", ""A18"", ""A19""],
    ""C"": [""D00"", ""D01"", ""D02"", ""D03"", ""D04"", ""D05"", ""D06"", ""D07"", ""D08"", ""D09""]
  }
}"
F17	"```json
{
  ""comment"": ""Patients with tobacco use disorder (F17) have well‑documented comorbidities driven by smoking: hypertension (I10), atherosclerotic heart disease (I20‑I25), dyslipidemia (E78), and lung cancer (C34). They also frequently exhibit mood disorders such as depression (F32) and anxiety (F41). Conversely, conditions that are not directly linked to smoking or are more common in non‑smokers—such as chronic liver disease from alcohol (K70) or certain autoimmune disorders (M32 systemic lupus erythematosus)—are less likely to appear in this patient group."",
  ""answer"": {
    ""B"": [""I10"", ""I20"", ""I21"", ""I25"", ""E78"", ""F32"", ""F41"", ""C34""],
    ""C"": [""K70"", ""M32""]
  }
}
```"
B18	"{
  ""comment"": ""Patients with chronic viral hepatitis (B18) frequently develop liver‑related complications such as cirrhosis (K74), portal hypertension (K76.6), and hepatocellular carcinoma (C22.0). These conditions are strongly associated with chronic hepatitis and therefore appear more often than in a random patient. Conversely, conditions that are not linked to liver disease and are not part of the typical comorbidity profile—such as type 1 diabetes mellitus (E10) and asthma (J45)—are less frequently seen in this population, making them less likely than in a random patient."",
  ""answer"": {
    ""B"": [""K74"", ""K76.6"", ""C22.0""],
    ""C"": [""E10"", ""J45""]
  }
}"
Z99	"{
  ""comment"": ""Patients coded with Z99 (dependence on enabling machines) are typically long‑term survivors of severe chronic illnesses that require mechanical ventilation, dialysis, or other life‑support devices. Consequently, they are far more likely to have chronic disease categories such as chronic kidney disease (N18), chronic respiratory disease (J44), and heart failure (I50). They are also more likely to have ICD codes related to the use of medical devices (Z50, Z51). Conversely, acute infectious diseases that are uncommon in stable, device‑dependent patients (e.g., A00–A09, acute bacterial infections) are less likely to be present."",
  ""answer"": {
    ""B"": [""N18"", ""J44"", ""I50"", ""Z50"", ""Z51""],
    ""C"": [""A00"", ""A09""]
  }
}"
K52	"{
  ""comment"": ""Patients with noninfective gastroenteritis (K52) frequently have functional GI disorders such as irritable bowel syndrome (K58) and are often associated with anxiety (F41) or depressive disorders (F32). These conditions are more common in this group than in the general population. Conversely, infectious diarrheal diseases (A00‑A09) and chronic liver diseases (K70‑K77) are less likely to coexist with noninfective gastroenteritis, as are colorectal cancers (C18‑C20) which are not typically part of the diagnostic work‑up for K52."",
  ""answer"": {
    ""B"": [""F32"", ""F41"", ""K58""],
    ""C"": [""A00"", ""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09"", ""K70"", ""K71"", ""K72"", ""K73"", ""K74"", ""K75"", ""K76"", ""K77"", ""C18"", ""C19"", ""C20""]
  }
}"
I95	"{
  ""comment"": ""Hypotension is frequently linked to acute cardiovascular events, shock states, and systemic illnesses. Thus, categories describing heart failure (I50), myocardial infarction (I21), cerebrovascular accidents (I63), various shock subtypes (R57.0‑R57.9), chest pain (R07.9), and general fatigue (R53) are markedly more common in these patients. Conversely, chronic hypertension and its complications (I10, I11, I15) and stable coronary artery disease (I20, I25 series) are less likely to be present in a patient whose primary diagnosis is hypotension."",
  ""answer"": {
    ""B"": [""I50"",""I21"",""I63"",""R57.0"",""R57.1"",""R57.2"",""R57.3"",""R57.4"",""R57.5"",""R57.6"",""R57.7"",""R57.8"",""R57.9"",""R07.9"",""R53""],
    ""C"": [""I10"",""I11"",""I15"",""I20"",""I25"",""I25.0"",""I25.1"",""I25.2"",""I25.3"",""I25.4"",""I25.5"",""I25.6"",""I25.7"",""I25.8"",""I25.9""]
  }
}"
R64	"```json
{
  ""comment"": ""Cachexia is strongly associated with chronic, progressive illnesses such as cardiovascular disease, chronic kidney disease, chronic liver disease, chronic obstructive pulmonary disease, diabetes, and obesity. These conditions are therefore more likely to coexist. In contrast, acute, self‑limited conditions (e.g., pregnancy, acute infections, or acute surgical emergencies) are less commonly seen in patients with cachexia, as the chronic disease burden dominates the clinical picture."",
  ""answer"": {
    ""B"": [""I25"", ""I10"", ""I20"", ""I21"", ""I50"", ""I42"", ""N18"", ""K74"", ""J44"", ""E11"", ""E66""],
    ""C"": [""O00-O99""]
  }
}
```"
F10	"{
  ""comment"": ""Alcohol use disorder is strongly linked to liver injury (K70), cardiovascular disease (I50, I25), psychiatric comorbidities (F32 depressive episode, F41 anxiety), neurodegeneration (G20 Parkinson disease), and increased cancer risk such as lung cancer (C34). It also raises the risk of infections like sepsis (A41). Conversely, conditions that are unrelated to alcohol consumption and typically seen in healthier or different populations—such as cholera (A00), HIV infection (B20), and unspecified malignant neoplasms (C80)—are less likely to co‑occur."",
  ""answer"": {
    ""B"": [""K70"", ""I50"", ""I25"", ""F32"", ""F41"", ""G20"", ""C34"", ""A41""],
    ""C"": [""A00"", ""B20"", ""C80""]
  }
}"
G31	"```json
{
  ""comment"": ""Patients with other degenerative nervous system diseases (G31) frequently have comorbid neurodegenerative conditions such as Alzheimer’s disease (G30), Parkinson’s disease (G20), and epilepsy (G40) due to shared pathophysiology and age‑related risk factors. These conditions are thus more likely than in a random patient. Conversely, chronic respiratory conditions like asthma (J45) and certain malignancies (C00) are less commonly documented in this patient group, likely because the focus of care is on neurological decline rather than respiratory or oncologic disease, making them less likely than in a random patient."",
  ""answer"": {
    ""B"": [""G30"", ""G20"", ""G40""],
    ""C"": [""J45"", ""C00""]
  }
}
```"
F02	"```json
{
  ""comment"": ""Patients with dementia secondary to other diseases often have underlying neurological or vascular pathology.  Consequently, ICD‑10 categories that reflect cerebrovascular disease (I63), ischemic heart disease (I21), and Parkinson disease (G20) are markedly more common than in a random patient.  Conversely, infectious diseases such as cholera (A00) or acute viral hepatitis (B15) are much less likely in this population, as they are not related to the chronic neurodegenerative processes that give rise to dementia in other diseases."",
  ""answer"": {
    ""B"": [""I63"", ""I21"", ""G20""],
    ""C"": [""A00"", ""B15""]
  }
}
```"
R44	"```json
{
  ""comment"": ""Patients with R44 (general symptoms and signs involving general sensations and perceptions) often undergo evaluation for neurological and psychiatric conditions. Consequently, codes for common related complaints such as headaches (R51), dizziness (G44), and general weakness (R53) are more frequently documented. Conversely, conditions unrelated to sensory complaints, such as acute asthma (J45) or uncomplicated urinary tract infection (N39), are less likely to appear in the same patient record."",
  ""answer"": {
    ""B"": [""R51"", ""G44"", ""R53""],
    ""C"": [""J45"", ""N39""]
  }
}
```"
R29	"```json
{
  ""comment"": ""Patients presenting with nonspecific nervous or musculoskeletal symptoms (R29) often have accompanying pain (R52), fatigue (R53), or acute distress such as shock (R57) as part of the same systemic or neurological process, making these categories more likely. Conditions that are unrelated to nervous or musculoskeletal complaints, such as asthma (J45) or essential hypertension (I10), are less likely to be coded concurrently in the same encounter, so they are listed as less likely."",
  ""answer"": {
    ""B"": [""R52"", ""R53"", ""R57""],
    ""C"": [""J45"", ""I10""]
  }
}
```"
E78	"{
  ""comment"": ""Patients with disorders of lipoprotein metabolism (E78) frequently have atherosclerotic cardiovascular disease, so ischemic heart disease (I25) and angina (I20) are more common. They are also more likely to have hypertension (I10) and type 2 diabetes (E11). Conversely, conditions that are unrelated or protective, such as certain infectious diseases (A00–A09) or acute viral hepatitis (B15–B19), are not specifically associated and may be slightly less common due to competing risk factors or different health-seeking behaviors."",
  ""answer"": {
    ""B"": [""I25"", ""I20"", ""I10"", ""E11""],
    ""C"": [""A00"", ""A01"", ""B15"", ""B19""]
  }
}"
Z85	"{
  ""comment"": ""Patients with a personal history of malignant neoplasm (Z85) are more likely to have other malignant neoplasm diagnoses (C00‑C97) because they may develop second primary cancers or have multiple sites of disease. They are less likely to have unrelated infectious disease codes such as A00‑A09, which are not directly linked to cancer history and are not typically part of a cancer surveillance work‑up."",
  ""answer"": {
    ""B"": [""C00-C97""],
    ""C"": [""A00-A09""]
  }
}"
R41	"```json
{
  ""comment"": ""Patients with R41 (cognitive symptoms) often have underlying neurological or psychiatric disorders. Therefore, categories for dementia (G30, G31), epilepsy (G40), status epilepticus (G41), Parkinson disease (G20), and depressive disorders (F32, F33) are more likely than in a random patient. Conversely, acute infectious diseases such as cholera (A00), HIV infection (B20), and acute coronary syndromes (I20) are less likely to co‑occur with isolated cognitive symptom codes, as they are not directly related to cognitive dysfunction and are not part of routine diagnostic work‑up for R41."",
  ""answer"": {
    ""B"": [""G30"", ""G31"", ""G40"", ""G41"", ""G20"", ""F32"", ""F33""],
    ""C"": [""A00"", ""B20"", ""I20""]
  }
}
```"
G20	"```json
{
  ""comment"": ""Patients with Parkinson disease (G20) frequently develop neuropsychiatric and motor complications.  Depression (F32/F33) and anxiety (F41) are common comorbidities due to dopaminergic deficits and disease burden, making them more likely than in a random patient.  Sleep disorders (G47) and constipation (K56) are also strongly associated with Parkinson disease.  Conversely, acute viral infections such as influenza (J10) or bacterial pneumonia (J18) are not specifically linked to Parkinson disease and are not expected to be more frequent; thus they are listed as less likely.  Other conditions not listed are assumed to be of average frequency."",
  ""answer"": {
    ""B"": [""F32"", ""F33"", ""F41"", ""G47"", ""K56""],
    ""C"": [""J10"", ""J18""]
  }
}
```"
R60	"{
  ""comment"": ""Edema (R60) is frequently associated with conditions that cause fluid overload or loss of plasma proteins, such as congestive heart failure (I50), chronic kidney disease (N18), liver cirrhosis (K74), and hypoalbuminemia (E83.1). These comorbidities are therefore more likely to appear in a patient with R60 than in a random patient. No ICD‑10 category shows a clear, clinically plausible inverse relationship with edema, so the less‑likely list is left empty."",
  ""answer"": {
    ""B"": [""I50"", ""N18"", ""K74"", ""E83.1""],
    ""C"": []
  }
}"
K12	"```json
{
  ""comment"": ""Patients with stomatitis (K12) often have oral mucosal disorders and dental issues. Therefore, conditions like oral candidiasis (B37), oral lichen planus (L43), dental caries (K02), and periodontal disease (K04) are more likely to co‑occur. Conversely, unrelated systemic conditions such as pulmonary embolism (I26) or liver cirrhosis (K74) are not linked to oral mucosal disease and are therefore less likely to appear in the same patient record."",
  ""answer"": {
    ""B"": [""B37"", ""L43"", ""K02"", ""K04""],
    ""C"": [""I26"", ""K74""]
  }
}
```"
K02	"{
  ""comment"": ""Dental caries (K02) is strongly associated with other oral conditions such as periodontal disease (K03), dental abscesses (K04), and the need for dental prostheses (K05) due to tooth loss. These conditions are therefore more likely to co‑occur. Oral cancers (C00‑C14) are not directly linked to caries and are comparatively less frequent in patients with dental caries, making them less likely than in a random patient."",
  ""answer"": {
    ""B"": [""K03"", ""K04"", ""K05""],
    ""C"": [""C00""]
  }
}"
R13	"```json
{
  ""comment"": ""Dysphagia (R13) is strongly associated with neurological disease, head‑neck cancers, and upper‑GI disorders.  Consequently, ICD‑10 categories reflecting these conditions are more likely to co‑occur.  Conditions unrelated to swallowing, especially those of the lower GI tract or infectious diseases of the skin, are less likely to appear in the same patient.  The lists below capture the most pronounced deviations from random prevalence."",
  ""answer"": {
    ""B"": [""G20"", ""G30"", ""G31"", ""I63"", ""K21"", ""K22"", ""K25"", ""K26"", ""K27"", ""K28""],
    ""C"": [""A00"", ""B00"", ""C00"", ""D00"", ""E00"", ""F00"", ""H00"", ""J00"", ""L00"", ""M00""]
  }
}
```"
R09	"{
  ""comment"": ""Patients presenting with circulatory or respiratory symptoms (R09) are often evaluated for underlying cardiovascular or pulmonary disease. Thus, ICD‑10 categories for ischemic heart disease (I20–I25), chronic obstructive pulmonary disease (J44), asthma (J45), essential hypertension (I10), and heart failure (I50) are markedly more common than in a random patient. Conversely, conditions unrelated to the cardiopulmonary system—such as primary meningitis (G00) or routine health‑check visits (Z00)—are less likely to be documented in the same record."",
  ""answer"": {
    ""B"": [""I20"", ""I25"", ""J44"", ""J45"", ""I10"", ""I50""],
    ""C"": [""G00"", ""Z00""]
  }
}"
K31	"{
  ""comment"": ""Patients with other stomach and duodenum diseases (K31) frequently have related gastrointestinal disorders such as peptic ulcer disease, gastritis, and functional dyspepsia, reflecting shared risk factors (e.g., H. pylori infection, NSAID use, alcohol, stress). These conditions are thus more common than in a random patient. There is no strong evidence that gastric cancer (C16) or other unrelated categories are less common, so they are omitted."",
  ""answer"": {
    ""B"": [""K25"", ""K26"", ""K29"", ""K30""],
    ""C"": []
  }
}"
K21	"```json
{
  ""comment"": ""GERD is strongly linked to obesity, hypertension, dyslipidemia, anxiety, depression, asthma, chronic gastritis, and NSAID use due to shared risk factors (obesity, diet, stress) and common diagnostic work‑ups. These conditions are therefore more likely in a GERD patient. Conversely, infections such as tuberculosis (A15) and HIV (B20) are not related to GERD and are less likely to be seen in this population; chronic kidney disease (N18) is also less common among typical GERD patients."",
  ""answer"": {
    ""B"": [""E66"", ""I10"", ""E78"", ""F41"", ""F33"", ""J45"", ""K29"", ""M01""],
    ""C"": [""A15"", ""B20"", ""N18""]
  }
}
```"
K44	"{
  ""comment"": ""Patients with a diaphragmatic hernia (K44) often have gastrointestinal and respiratory sequelae due to the displacement of abdominal organs. Common comorbidities include gastro‑esophageal reflux (K21), peptic ulcer disease (K25), and abdominal pain syndromes (R07.0). The hernia can also precipitate respiratory conditions such as asthma (J45) and chest pain (R07). Conversely, conditions that are not directly related to the mechanical effects of a hernia—such as primary lung cancer (C34), acute myocardial infarction (I21), or epilepsy (G40)—are less likely to be seen in this patient population than in the general population."",
  ""answer"": {
    ""B"": [""K21"", ""K25"", ""R07.0"", ""J45""],
    ""C"": [""C34"", ""I21"", ""G40""]
  }
}"
F41	"```json
{
  ""comment"": ""Patients with other anxiety disorders (F41) frequently have comorbid mood disorders, substance‑use disorders, and sleep‑related problems due to shared risk factors and overlapping symptomatology. They also often develop cardiovascular issues secondary to chronic stress. Conversely, malignant neoplasms (C) and certain rare infectious diseases (A) are not typically associated with anxiety disorders and are therefore less likely to be present than in a random patient."",
  ""answer"": {
    ""B"": [""F32"", ""F33"", ""F10"", ""F11"", ""F12"", ""F13"", ""F14"", ""F15"", ""F16"", ""F17"", ""F18"", ""F19"", ""G47"", ""I20"", ""I21"", ""I22"", ""I23"", ""I24"", ""I25""],
    ""C"": [""C00"", ""C01"", ""C02"", ""C03"", ""C04"", ""C05"", ""C06"", ""C07"", ""C08"", ""C09"", ""C10"", ""C11"", ""C12"", ""C13"", ""C14"", ""C15"", ""C16"", ""C17"", ""C18"", ""C19"", ""C20"", ""C21"", ""C22"", ""C23"", ""C24"", ""C25"", ""C26"", ""C27"", ""C28"", ""C29"", ""C30"", ""C31"", ""C32"", ""C33"", ""C34"", ""C35"", ""C36"", ""C37"", ""C38"", ""C39"", ""C40"", ""C41"", ""C42"", ""C43"", ""C44"", ""C45"", ""C46"", ""C47"", ""C48"", ""C49"", ""C50"", ""C51"", ""C52"", ""C53"", ""C54"", ""C55"", ""C56"", ""C57"", ""C58"", ""C59"", ""C60"", ""C61"", ""C62"", ""C63"", ""C64"", ""C65"", ""C66"", ""C67"", ""C68"", ""C69"", ""C70"", ""C71"", ""C72"", ""C73"", ""C74"", ""C75"", ""C76"", ""C77"", ""C78"", ""C79"", ""C80"", ""C81"", ""C82"", ""C83"", ""C84"", ""C85"", ""C86"", ""C87"", ""C88"", ""C89"", ""C90"", ""C91"", ""C92"", ""C93"", ""C94"", ""C95"", ""C96"", ""C97""]
  }
}
```"
I34	"{
  ""comment"": ""Patients with nonrheumatic mitral valve disorders (I34) frequently have concomitant atherosclerotic heart disease, heart failure, hypertension, and other valvular or cardiomyopathic conditions due to shared risk factors (e.g., age, hypertension, dyslipidemia) and the hemodynamic burden of mitral disease. They are also more likely to undergo cardiac imaging and work‑up that can reveal additional valvular lesions. Conversely, acute coronary syndromes (I21) and other acute ischemic events are less common in this population because the primary pathology is chronic valvular dysfunction rather than acute plaque rupture."",
  ""answer"": {
    ""B"": [""I25"", ""I50"", ""I10"", ""I20"", ""I42"", ""I35""],
    ""C"": [""I21""]
  }
}"
M81	"{
  ""comment"": ""Patients with osteoporosis (M81) are more likely to have osteoporosis with pathological fracture (M80) and to be on long‑term systemic steroids (Z79.4) because steroid use is a major risk factor. Obesity (E66) can paradoxically be associated with higher bone density, but in clinical practice obese patients with osteoporosis often have secondary causes such as steroid‑induced bone loss, so E66 appears more frequently in this cohort. Conversely, breast cancer (C50) and essential hypertension (I10) are not directly linked to osteoporosis and are less common in this specific population than in the general random patient."",
  ""answer"": {
    ""B"": [""M80"", ""Z79.4"", ""E66""],
    ""C"": [""C50"", ""I10""]
  }
}"
S72	"{
  ""comment"": ""Fracture of the femur (S72) is strongly associated with osteoporosis and age‑related bone loss, so osteoporosis codes (M80, M81) are more likely. Hypertension (I10) is common in older adults who also sustain falls, making it more likely as well. No ICD‑10 category shows a clear inverse relationship, so the less likely list is empty."",
  ""answer"": {
    ""B"": [""M80"", ""M81"", ""I10""],
    ""C"": []
  }
}"
W01	"{""comment"":""Patients who fall on the same level are more likely to sustain injuries such as fractures, head trauma, and sprains, which are coded in the S00–S99 injury categories. They are less likely to have unrelated infectious or chronic conditions that are not linked to falls, such as cholera (A00) or chronic hepatitis (B15)."",""answer"":{""B"":[""S00"",""S12"",""S83""],""C"":[""A00"",""B15""]}}"
G43	"{
  ""comment"": ""Patients with migraine often have comorbid mood disorders (anxiety, depression), sleep disturbances, and hypertension due to shared neurovascular and stress‑related mechanisms. They also frequently undergo imaging that can reveal secondary headache causes, but the prevalence of many cancers or infectious diseases is not elevated and may even be slightly lower due to health‑behaviour differences. Therefore, the categories listed as B are those with well‑documented higher prevalence, while those listed as C are those with no clear association or a modestly lower prevalence in migraineurs."",
  ""answer"": {
    ""B"": [""F41"", ""F32"", ""G44"", ""G47"", ""I10""],
    ""C"": [""C00"", ""C01"", ""C02"", ""C03"", ""C04"", ""C05"", ""C06"", ""C07"", ""C08"", ""C09"", ""C10"", ""C11"", ""C12"", ""C13"", ""C14"", ""C15"", ""C16"", ""C17"", ""C18"", ""C19"", ""C20"", ""C21"", ""C22"", ""C23"", ""C24"", ""C25"", ""C26"", ""C27"", ""C28"", ""C29"", ""C30"", ""C31"", ""C32"", ""C33"", ""C34"", ""C35"", ""C36"", ""C37"", ""C38"", ""C39"", ""C40"", ""C41"", ""C42"", ""C43"", ""C44"", ""C45"", ""C46"", ""C47"", ""C48"", ""C49"", ""C50"", ""C51"", ""C52"", ""C53"", ""C54"", ""C55"", ""C56"", ""C57"", ""C58"", ""C59"", ""C60"", ""C61"", ""C62"", ""C63"", ""C64"", ""C65"", ""C66"", ""C67"", ""C68"", ""C69"", ""C70"", ""C71"", ""C72"", ""C73"", ""C74"", ""C75"", ""C76"", ""C77"", ""C78"", ""C79"", ""C80"", ""C81"", ""C82"", ""C83"", ""C84"", ""C85"", ""C86"", ""C87"", ""C88"", ""C89"", ""C90"", ""C91"", ""C92"", ""C93"", ""C94"", ""C95"", ""C96"", ""C97""]
  }
}"
R51	"```json
{
  ""comment"": ""Headache (R51) is often associated with migraine (G43), tension‑type headache (G44), and secondary causes such as hypertension (I10) and depression (F32). These conditions are more common in patients presenting with headache. Conversely, rare congenital anomalies (Q00–Q99) or neoplasms of the brain (C70–C72) are less likely to co‑occur simply because they are uncommon in the general population and not directly linked to headache. Thus, the listed categories represent the clearest deviations from random prevalence."",
  ""answer"": {
    ""B"": [""G43"", ""G44"", ""I10"", ""F32""],
    ""C"": [""Q00"", ""Q99"", ""C70"", ""C72""]
  }
}
```"
S30	"{
  ""comment"": ""Patients with a superficial injury of the abdomen, lower back and pelvis (S30) are usually involved in trauma events that can affect multiple body regions. Consequently, other superficial injury categories such as S40 (upper limb) and S50 (lower limb) are more frequently documented in the same encounter. Abdominal pain (R10) is also a common symptom that is often coded alongside S30. In contrast, chronic non‑traumatic conditions such as essential hypertension (I10) or type 2 diabetes mellitus (E11) are not directly related to the acute injury and are therefore less likely to be coded in the same record than in a random patient."",
  ""answer"": {
    ""B"": [""S40"", ""S50"", ""R10""],
    ""C"": [""I10"", ""E11""]
  }
}"
S00	"{
  ""comment"": ""Patients with superficial head injuries (S00) are frequently evaluated for more serious head trauma such as skull fractures (S02) and intracranial injuries (S06). These complications are clinically relevant and thus appear more often than in a random patient. No ICD‑10 categories have a clear, clinically driven inverse relationship with superficial head injury, so the less‑likely list is left empty."",
  ""answer"": {
    ""B"": [""S02"", ""S06""],
    ""C"": []
  }
}"
D66	"{
  ""comment"": ""Hereditary factor VIII deficiency (Hemophilia A) is a bleeding disorder; patients often have other inherited bleeding conditions such as Hemophilia B (D65). They are less likely to have thrombotic or cardiovascular conditions that are more common in the general population, such as pulmonary embolism (I26) or myocardial infarction (I21)."",
  ""answer"": {
    ""B"": [""D65""],
    ""C"": [""I26"", ""I21""]
  }
}"
D64	"{
  ""comment"": ""Patients with other anemias (D64) frequently have chronic conditions that cause or exacerbate anemia. The strongest associations are with chronic kidney disease (N18), iron deficiency (E83), and vitamin B12/folate deficiency (E53). These categories are therefore more likely than in a random patient. Anemias are uncommon in acute infectious diseases such as cholera (A00) or in many cancers like breast cancer (C50) where anemia is not a primary feature, making them less likely to co‑occur."",
  ""answer"": {
    ""B"": [""N18"", ""E83"", ""E53""],
    ""C"": [""A00"", ""C50""]
  }
}"
C64	"{
  ""comment"": ""Patients with malignant kidney tumors (C64) frequently undergo imaging that can incidentally detect other renal lesions, so a more specific kidney cancer code (C73) is often added. Conversely, conditions that are protective or unrelated to kidney cancer, such as congenital anomalies of the kidney (Q61) or benign cystic disease (N21), are less likely to coexist. The associations are based on shared diagnostic work‑up, treatment overlap, and known epidemiologic links."",
  ""answer"": {
    ""B"": [""C73""],
    ""C"": [""Q61"", ""N21""]
  }
}"
Z86	"```json
{
  ""comment"": ""The ICD-10 category Z86 denotes a personal history of certain other diseases. Because it is a history code, it does not directly indicate an active disease or condition. Consequently, there is no strong evidence that any specific active disease category is more or less likely to appear in a patient with this code compared to a random patient. Therefore, no categories are listed as clearly more or less likely."",
  ""answer"": {
    ""B"": [],
    ""C"": []
  }
}
```"
